,EURUSD,USDJPY,GBPUSD,USDCHF,AUDUSD,USDCAD,NZDUSD,CHFJPY,EURJPY,EURAUD,GBPAUD,CADJPY,NZDJPY,EURCAD,GBPCAD,USDTRY,USDINR,USDBRL,USDZAR,USDSEK
EURUSD,1.0,0.021243599710334436,0.537815112133745,-0.5798128264610902,0.05184741464871983,-0.4251106143271396,0.47235077705615025,0.3332818983530932,0.45994628603822335,0.17677612096274287,-0.06342305364459422,0.10221802254253316,0.23953704236741438,0.4366643299481563,0.15055914250731223,-0.22803985655156334,-0.1763497574742251,-0.14688029064204702,-0.32591808358290675,-0.6850952974325748
USDJPY,0.021243599710334436,1.0,-0.14531650851166744,0.34033937112768514,-0.005673328454082526,0.015057695461392944,-0.09290234456347794,0.4263613398551815,0.5416508677906716,-0.13343047340133204,-0.045471390611511946,0.643238258162838,0.4797897246925217,-0.2341594980267509,-0.13650916514186745,-0.0788030782210718,0.0017340041693573,0.029422059345772578,-0.007373912627597339,0.13356260890454857
GBPUSD,0.537815112133745,-0.14531650851166744,1.0,-0.4622832736020499,0.06612345843838602,-0.48476438713373987,0.5570638012395297,0.2684663959969111,0.356623274818471,-0.12237831418236995,0.2137682329537091,0.19003818259829286,0.3520275182864157,0.18668594996201157,0.5669546439441421,-0.23784120163205996,-0.2135946169314177,-0.226030182128313,-0.3722203430580958,-0.5912352645657215
USDCHF,-0.5798128264610902,0.34033937112768514,-0.4622832736020499,1.0,-0.042495304119319476,0.3270787219436957,-0.3984303200218078,-0.580540907809769,-0.21318595340669322,-0.15077683188959626,0.04630936644658169,0.09599828929103091,-0.07163288699773583,-0.3981962892600577,-0.16550220420075687,0.12189985293846028,0.14593093039657176,0.12555884320794042,0.23648609199957107,0.541199300848224
AUDUSD,0.05184741464871983,-0.005673328454082526,0.06612345843838602,-0.042495304119319476,1.0,-0.0735042088543602,0.09813488987495618,0.03502183273931886,0.04878934406220299,-0.08338320696296107,-0.07913214175288112,0.04686898770774616,0.0777686969841633,-0.005148351444546889,-0.0017182158416537117,-0.042956032717350795,-0.03328640987938669,-0.043438619366917716,-0.061688889237193754,-0.07665294009018683
USDCAD,-0.4251106143271396,0.015057695461392944,-0.48476438713373987,0.3270787219436957,-0.0735042088543602,1.0,-0.6047741708446583,-0.2807626747083923,-0.37832424227315414,0.37118702658597286,0.3598934605837532,-0.6373591477372474,-0.49317881960246285,0.4476767330192727,0.4306023395138674,0.32571345778650596,0.24191504055428398,0.3056438863357598,0.44771164154333914,0.5362487062490977
NZDUSD,0.47235077705615025,-0.09290234456347794,0.5570638012395297,-0.3984303200218078,0.09813488987495618,-0.6047741708446583,1.0,0.26905082561211063,0.36149013481643877,-0.48099050026895745,-0.47156928911497076,0.3352235099034635,0.7344133063671178,0.002131538842743641,0.0034657765379407053,-0.34309948069995394,-0.2575135027922773,-0.28656757728322424,-0.46939149555314863,-0.605664878296199
CHFJPY,0.3332818983530932,0.4263613398551815,0.2684663959969111,-0.580540907809769,0.03502183273931886,-0.2807626747083923,0.26905082561211063,1.0,0.7505207538854032,-0.011343202178125086,-0.10588539178866829,0.570128719270414,0.555384045584049,0.12779941775400197,0.014336473600421992,-0.1834313431656833,-0.1491277266436309,-0.12986682953606138,-0.21667343088338148,-0.3625541642060946
EURJPY,0.45994628603822335,0.5416508677906716,0.356623274818471,-0.21318595340669322,0.04878934406220299,-0.37832424227315414,0.36149013481643877,0.7505207538854032,1.0,-0.008624011227039843,-0.15589342752257906,0.7420619083759703,0.7236883798577479,0.19594111291348212,0.009350323207909426,-0.291986715863187,-0.19368416200106806,-0.20374292780851497,-0.3156238667694636,-0.48803224745092894
EURAUD,0.17677612096274287,-0.13343047340133204,-0.12237831418236995,-0.15077683188959626,-0.08338320696296107,0.37118702658597286,-0.48099050026895745,-0.011343202178125086,-0.008624011227039843,1.0,0.7117156577564802,-0.39657928901604117,-0.5246125128307872,0.5425071310928348,0.22136294086126032,0.20540502893241588,0.14661728830608556,0.22067491204506753,0.2727462532100856,0.04872594333264799
