,Volatilité (Ann),Semi-Déviation,EWMA (Actuelle),Ratio Symétrie,VaR Hist 95%,VaR Param,VaR MonteCarlo,CVaR,Rendement (Ann),Ratio Sharpe,Ratio Sortino,Beta (vs Strategy),Skewness,Kurtosis,Max Drawdown,Ratio Calmar
USDJPY=X,0.09348470528924806,0.06849991112699422,0.07521750575981624,1.364741993838995,-0.008971627470568695,-0.009324492223469278,-0.009080688248653953,-0.013748690205540705,0.0912297078435138,0.9758784344588011,1.3318222803877813,-0.191200597369827,-0.2859981229565197,3.3109596249106756,-0.14251512611707648,0.6401405263366107
EURJPY=X,0.08640298472747267,0.05922459056849055,0.05897561615430192,1.4589038758748623,-0.008269872286999895,-0.008621024894736588,-0.008637633827863641,-0.012016836069447695,0.08359095645164555,0.9674545007363269,1.411423120856807,-0.2897205227373399,-0.21936557413769722,2.6326540569952037,-0.10380651148771153,0.8052573509470158
USDTRY=X,0.1694111846341628,0.14662824438316066,0.010394968519171648,1.155378933621186,-0.007989520127240395,-0.017012457009090463,-0.016674196978633888,-0.020242040399463253,0.1363972461091912,0.8051253900604971,0.9302249145994385,0.09672231288251897,-1.7933311767452123,91.04876730659178,-0.35080287500735274,0.38881450474524293
AUDJPY=X,0.11453130144928196,0.08236160166738964,0.07838579184454994,1.3905909930188942,-0.011122897110135498,-0.011576029658080356,-0.01161267434918553,-0.016087263747435934,0.07339503656702964,0.6408294993446072,0.891131729849418,-0.3263807227805542,-0.3728736066933038,4.749970978785183,-0.19423510309947797,0.37786700444893423
USDCAD=X,0.06856501399052417,0.047209842589642524,0.03931772976444768,1.4523457446470454,-0.006663859490556899,-0.006954879557977548,-0.006944548442209472,-0.009398008581741243,0.03768801346588443,0.5496682822976305,0.7983083907624146,0.1768548524335934,-0.015368946239114669,4.455124856708163,-0.15401614449353115,0.24470170701791177
USDSGD=X,0.04645942089820843,0.03040290015453452,0.02923691366763181,1.5281246414671108,-0.0046232447157628954,-0.004730242767967879,-0.004726997592574365,-0.006463339266031127,0.021091997296081962,0.4539875204706934,0.693749516949821,0.04270474580150464,-0.008310370836680939,1.7301968007608348,-0.08596425492915757,0.2453577631012297
NZDJPY=X,0.10838903812086104,0.07417316112219824,0.07557919562335658,1.4612972735824632,-0.0108410748413943,-0.011067900341397544,-0.01110440499683444,-0.015372776138741035,0.04106150115713867,0.37883444552162504,0.5535897423798748,-0.2737231984554841,-0.15409613248851897,2.2464063637712526,-0.18532688226316105,0.22156257449381808
USDNOK=X,0.28393257780620673,0.1928866268491223,0.06273863182462643,1.4720179539885956,-0.012459951061858,-0.029082442681029295,-0.029115376136638244,-0.022924658438868862,0.08505664976070368,0.2995663633172718,0.4409670652140948,1.0367310148732451,13.32468042484559,498.68971847529815,-0.3415386918641876,0.24903957234375756
STRATEGY,0.06677573947075333,0.05144201328800068,0.04840417732525437,1.2980778784241203,-0.005829870631998999,-0.006843432382852125,-0.006781196839300657,-0.009202263059695714,0.01905252189343062,0.2853210169507043,0.37036890035318265,0.9999999999999998,0.5825269702185605,25.78047699226597,-0.12768313574184748,0.14921721480862923
USDSEK=X,0.1103108413839109,0.07019478430685218,0.058495343433166376,1.571496265330681,-0.0107896308030844,-0.011307358844239999,-0.011109752474570791,-0.014776149190529383,0.030898628211422953,0.2801050905222231,0.4401841036557859,0.21499835788270336,0.11789992880190173,1.7854383125467006,-0.20945188711719706,0.1475213646279247
USDZAR=X,0.228643809732397,0.17465189496343234,0.054466816129545195,1.3091401600896984,-0.0142067980933192,-0.023608871178195497,-0.02417879138607825,-0.023674781103400513,0.0207382742585292,0.0907012277428421,0.11874061980759651,1.5081258666959398,2.0501515470037974,106.98753808750736,-0.35195174016378034,0.05892363040705145
USDCHF=X,0.07847489216343037,0.05798949018624605,0.05336689757320272,1.35326059793578,-0.007623457761720096,-0.00811067706597438,-0.008086410495023268,-0.011313282466995709,0.005186267029337104,0.06608823390972338,0.08943460293719194,-0.03454774021812716,-0.5639476027938267,4.707637926241587,-0.13419966842356415,0.038645900472481697
GBPUSD=X,0.08871846409712826,0.06394986969791243,0.05169821004855717,1.3873126640635576,-0.009359021854667087,-0.00918193638287181,-0.009190703109057988,-0.012815501902278429,0.002701303238402809,0.03044803881461974,0.042240949843420715,-0.11723161315868288,-0.3157142030209174,5.491408291094869,-0.2535387379605309,0.010654400428637177
EURGBP=X,0.08907066917336234,0.06915929662828618,0.03267543666668098,1.2879059434640403,-0.005792220848128395,-0.00923621875141407,-0.009175551918491624,-0.009509004076145985,-0.0017813417113888587,-0.0199991953346814,-0.025757082536034485,-0.12249134804177923,1.8655918158231801,196.05149359755015,-0.17721814355401616,-0.010051689266488141
EURUSD=X,0.07493171674956792,0.0491951651228358,0.03783103560897875,1.5231520528993105,-0.007368091425765298,-0.007780694222881338,-0.007858693679424256,-0.010317966530106937,-0.004174766624465017,-0.055714279687701006,-0.08486131948212815,-0.09053830151351906,0.05976113795769642,2.377540081320407,-0.242939237680031,-0.017184406538574448
AUDUSD=X,0.10683515387321196,0.07367936610148666,0.057053459452140576,1.4500009911330698,-0.011031314130913296,-0.011126480541029295,-0.010961236792226775,-0.014873418052979374,-0.014274556531945051,-0.1336129168577374,-0.19373886187189968,-0.16176769311827097,-0.2652641547920154,3.810521069565006,-0.2915311444589137,-0.04896408772530581
USDMXN=X,0.1287819001705141,0.07626360269357736,0.05036205377507211,1.6886417061616161,-0.011814432615794391,-0.013565407990391734,-0.013692871646678447,-0.01672035266803596,-0.055827473599164915,-0.4335040368657891,-0.7320329964409942,0.21728154975913525,0.9147447364323358,5.48443716760281,-0.49341893514145296,-0.11314416537979098
